Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
2,1,24,3913,default
2,2,26,2682,default
2,2,34,29239,paid
2,1,37,46990,paid
2,1,57,8617,paid
1,2,37,64400,paid
1,2,29,367965,paid
2,2,23,11876,paid
3,1,28,11285,paid
3,2,35,0,paid
3,2,34,11073,paid
1,2,51,12261,paid
2,2,41,12137,paid
2,2,30,65802,default
1,2,29,70887,paid
3,3,23,50614,paid
1,2,24,15376,default
1,1,49,253286,paid
1,1,49,0,paid
1,2,29,0,paid
3,2,39,38358,paid
2,1,39,316,default
2,2,26,41087,default
1,1,40,5512,default
1,2,23,4744,paid
3,2,23,47620,paid
1,2,27,-109,default
3,2,30,22541,paid
3,1,47,650,paid
1,2,26,15329,paid
